TargetDeviceFamily,CortexM0,,,,,,,,,,,,,
TargetDeviceSubFamily,MKL02Z4,mkl,,,,,,,,,,,,
,,,,,,,,,,,,,,
Device,MKL02Z8VFG4,KL02P32M48SF0RM,QFN_16,,,,,,,,,,,
Device,MKL02Z16VFG4,KL02P32M48SF0RM,QFN_16,,,,,,,,,,,
Device,MKL02Z32VFG4,KL02P32M48SF0RM,QFN_16,,,,,,,,,,,
Device,MKL02Z16VFK4,KL02P32M48SF0RM,QFN_24,,,,,,,,,,,
Device,MKL02Z32VFK4,KL02P32M48SF0RM,QFN_24,,,,,,,,,,,
Device,MKL02Z16VFM4,KL02P32M48SF0RM,QFN_32,,,,,,,,,,,
Device,MKL02Z32VFM4,KL02P32M48SF0RM,QFN_32,,,,,,,,,,,
Device,FRDM_KL02Z,KL02P32M48SF0RM,FRDM_KL02Z,,,,,,,,,,,
,,,,,,,,,,,,,,
Key,Pin,Pkg FRDM_KL02Z,Pkg QFN_32,Pkg QFN_24,Pkg QFN_16,Reset,ALT0,ALT1,ALT2,ALT3,Sort,,,
Pin,TEMP_SENSOR,Internal,Internal,Internal,Internal,ADC0_SE26,,,,,-2,Internal,Internal,Internal
Pin,BANDGAP,Internal,Internal,Internal,Internal,ADC0_SE27/CMP0_IN6,,,,,-1,Internal,Internal,Internal
Pin,CMP_DAC,Internal,Internal,Internal,Internal,CMP0_IN7,,,,,,,,
Pin,PTB6/IRQ_2/LPTMR0_ALT3,D6/RGB_Red,p1,p1,*,DISABLED,,PTB6/IRQ_2/LPTMR0_ALT3,TPM1_CH1,TPM_CLKIN1,1,,,
Pin,PTB7/IRQ_3,D7/RGB_Green,p2,p2,*,DISABLED,,PTB7/IRQ_3,TPM1_CH0,,2,,,
Pin,VDD,VDD,p3,p3,p1,VDD,,,,,3,,,
Pin,VREFH,VREFH,p4,p3,p1,VREFH,,,,,4,,,
Pin,VREFL,VREFL,p5,p4,p2,VREFL,,,,,5,,,
Pin,VSS,VSS,p6,p4,p2,VSS,,,,,6,,,
Pin,PTA3,EXTAL0,p7,p5,p3,EXTAL0,EXTAL0,PTA3,I2C0_SCL,I2C1_SDA,7,,,
Pin,PTA4,XTAL0,p8,p6,p4,XTAL0,XTAL0,PTA4,I2C0_SDA,I2C1_SCL,8,,,
Pin,PTA5,D10,p9,p7,p5,DISABLED,,PTA5,TPM0_CH1,SPI0_SS_b,9,,,
Pin,PTA6,D12,p10,p8,p6,DISABLED,,PTA6,TPM0_CH0,SPI0_MISO,10,,,
Pin,PTB8,A0,p11,*,*,ADC0_SE11,ADC0_SE11,PTB8,,,11,,,
Pin,PTB9,A1,p12,*,*,ADC0_SE10,ADC0_SE10,PTB9,,,12,,,
Pin,PTB10,D8/RGB_Blue,p13,p9,*,ADC0_SE9,ADC0_SE9,PTB10,TPM0_CH1,,13,,,
Pin,PTB11,D9,p14,p10,*,ADC0_SE8,ADC0_SE8,PTB11,TPM0_CH0,,14,,,
Pin,PTA7/IRQ_4,D11,p15,p11,p7,ADC0_SE7,ADC0_SE7,PTA7/IRQ_4,SPI0_MISO,SPI0_MOSI,15,,,
Pin,PTB0/IRQ_5,D13,p16,p12,p8,ADC0_SE6,ADC0_SE6,PTB0/IRQ_5,EXTRG_IN,SPI0_SCK,16,,,
Pin,PTB1/IRQ_6,D1/ConsoleTx,p17,p13,p9,ADC0_SE5/CMP0_IN3,ADC0_SE5/CMP0_IN3,PTB1/IRQ_6,UART0_TX,UART0_RX,17,,,
Pin,PTB2/IRQ_7,D0/ConsoleRx,p18,p14,p10,ADC0_SE4,ADC0_SE4,PTB2/IRQ_7,UART0_RX,UART0_TX,18,,,
Pin,PTA8,A5,p19,p15,*,ADC0_SE3,ADC0_SE3,PTA8,I2C1_SCL,,19,,,
Pin,PTA9,A4,p20,p16,*,ADC0_SE2,ADC0_SE2,PTA9,I2C1_SDA,,20,,,
Pin,PTA10/IRQ_8,D4/ACCEL_INT2,p21,*,*,DISABLED,,PTA10/IRQ_8,,,21,,,
Pin,PTA11/IRQ_9,D2,p22,*,*,DISABLED,,PTA11/IRQ_9,,,22,,,
Pin,PTB3/IRQ_10,D15/ACCEL_SCL,p23,p17,p11,DISABLED,,PTB3/IRQ_10,I2C0_SCL,UART0_TX,23,,,
Pin,PTB4/IRQ_11,D14/ACCEL_SDA,p24,p18,p12,DISABLED,,PTB4/IRQ_11,I2C0_SDA,UART0_RX,24,,,
Pin,PTB5/IRQ_12,D3,p25,p19,p13,NMI_b,ADC0_SE1/CMP0_IN1,PTB5/IRQ_12,TPM1_CH1,NMI_b,25,,,
