TargetDeviceFamily,CortexM0,,,,,,,,,,,
TargetDeviceSubFamily,MKL04Z4,mkl,,,,,,,,,,
,,,,,,,,,,,,
Device,MKL04Z8VFK4,KL04P48M48SF1RM,QFN_24,,,,,,,,,
Device,MKL04Z16VFK4,KL04P48M48SF1RM,QFN_24,,,,,,,,,
Device,MKL04Z32VFK4,KL04P48M48SF1RM,QFN_24,,,,,,,,,
Device,MKL04Z8VLC4,KL04P48M48SF1RM,LQFP_32,,,,,,,,,
Device,MKL04Z16VLC4,KL04P48M48SF1RM,LQFP_32,,,,,,,,,
Device,MKL04Z32VLC4,KL04P48M48SF1RM,LQFP_32,,,,,,,,,
Device,MKL04Z8VFM4,KL04P48M48SF1RM,QFN_32,,,,,,,,,
Device,MKL04Z16VFM4,KL04P48M48SF1RM,QFN_32,,,,,,,,,
Device,MKL04Z32VFM4,KL04P48M48SF1RM,QFN_32,,,,,,,,,
Device,MKL04Z16VLF4,KL04P48M48SF1RM,LQFP_48,,,,,,,,,
Device,MKL04Z32VLF4,KL04P48M48SF1RM,LQFP_48,,,,,,,,,
,,,,,,,,,,,,
Key,Pkg LQFP_48,Pkg QFN_32,Pkg LQFP_32,Pkg QFN_24,Pin,Reset,Default,ALT0,ALT1,ALT2,ALT3,Sort
Pin,p1,p1,p1,p1,PTB6/IRQ_2/LPTMR0_ALT3,DISABLED,,DISABLED,PTB6/IRQ_2/LPTMR0_ALT3,TPM0_CH3,TPM_CLKIN1,1
Pin,p2,p2,p2,p2,PTB7/IRQ_3,DISABLED,,DISABLED,PTB7/IRQ_3,TPM0_CH2,,2
Pin,p3,*,*,*,PTA14,DISABLED,,DISABLED,PTA14,,TPM_CLKIN0,3
Pin,p4,*,*,*,PTA15,DISABLED,,DISABLED,PTA15,,CLKOUT,4
Pin,p5,p3,p3,p3,VDD,VDD,,,,,,5
Pin,p6,p4,p4,p3,VREFH,VREFH,,,,,,6
Pin,p7,p5,p5,p4,VREFL,VREFL,,,,,,7
Pin,p8,p6,p6,p4,VSS,VSS,,,,,,8
Pin,p9,p7,p7,p5,PTA3,EXTAL0,,EXTAL0,PTA3,I2C0_SCL,I2C0_SDA,9
Pin,p10,p8,p8,p6,PTA4/LLWU_P0,XTAL0,,XTAL0,PTA4/LLWU_P0,I2C0_SDA,I2C0_SCL,10
Pin,p11,*,*,*,VSS,VSS,,,,,,11
Pin,p12,*,*,*,PTB18,DISABLED,,DISABLED,PTB18,,,12
Pin,p13,*,*,*,PTB19,DISABLED,,DISABLED,PTB19,,,13
