TargetDeviceFamily,CortexM0,,,,,,,,,,,,
TargetDeviceSubFamily,MKL03Z4,mkl,,,,,,,,,,,
,,,,,,,,,,,,,
Device,MKL03Z8VFG4,KL03P24M48SF0RM,QFN_16,,,,,,,,,,
Device,MKL03Z16VFG4,KL03P24M48SF0RM,QFN_16,,,,,,,,,,
Device,MKL03Z32VFG4,KL03P24M48SF0RM,QFN_16,,,,,,,,,,
Device,MKL03Z8VFK4,KL03P24M48SF0RM,QFN_24,,,,,,,,,,
Device,MKL03Z16VFK4,KL03P24M48SF0RM,QFN_24,,,,,,,,,,
Device,MKL03Z32VFK4,KL03P24M48SF0RM,QFN_24,,,,,,,,,,
Device,MKL03Z32CAF4,KL03P24M48SF0RM,WLCP_20,,,,,,,,,,
Device,FRDM_KL03Z,KL03P24M48SF0RM,FRDM_KL03Z,,,,,,,,,,
,,,,,,,,,,,,,
Key,Pin,Pkg FRDM_KL03Z,Pkg QFN_24,Pkg WLCP_20,Pkg QFN_16,Reset,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,Sort
Pin,PTA0/IRQ_0/LLWU_P7,D7/SWDCLK,p22,pA4,p14,SWD_CLK,ADC0_SE15/CMP0_IN2,PTA0/IRQ_0/LLWU_P7,TPM1_CH0,SWD_CLK,,,22
Pin,PTA1/IRQ_1/LPTMR0_ALT1,RESET_b,p23,pB4,p15,RESET_b,,PTA1/IRQ_1/LPTMR0_ALT1,TPM_CLKIN0,RESET_b,,,23
Pin,PTA12/IRQ_13/LPTMR0_ALT2,A2,p20,pB3,*,ADC0_SE0/CMP0_IN0,ADC0_SE0/CMP0_IN0,PTA12/IRQ_13/LPTMR0_ALT2,TPM1_CH0,TPM_CLKIN0,,CLKOUT,20
Pin,PTA2,A3/SWDIO,p24,pA5,p16,SWD_DIO,,PTA2,CMP0_OUT,SWD_DIO,,,24
Pin,PTA3,EXTAL0,p5,pC4,p3,EXTAL0,EXTAL0,PTA3,I2C0_SCL,I2C0_SDA,LPUART0_TX,,5
Pin,PTA4,XTAL0,p6,pC3,p4,XTAL0,XTAL0,PTA4,I2C0_SDA,I2C0_SCL,LPUART0_RX,CLKOUT,6
Pin,PTA5/RTC_CLKIN,D10,p7,pD3,p5,DISABLED,,PTA5/RTC_CLKIN,TPM0_CH1,SPI0_SS_b,,,7
Pin,PTA6,D12,p8,pD5,p6,DISABLED,,PTA6,TPM0_CH0,SPI0_MISO,,,8
