TargetDeviceFamily,CortexM0,,,,,,,,,,,,,,,,,,,
TargetDeviceSubFamily,MKE04Z4,mke,MKE04Z8M4,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,DeviceName,Manual,Package,Device,,,,,,,,,,,,,,,,
Device,MKE04Z8VTG4,MKE04P24M48SF0RM,KE04_TSSOP_16,MKE04Z8M4,,,,,,,,,,,,,,,,
Device,MKE04Z8VWJ4,MKE04P24M48SF0RM,KE04_SOIC_20,MKE04Z8M4,,,,,,,,,,,,,,,,
Device,MKE04Z8VFK4,MKE04P24M48SF0RM,KE04_QFN_24,MKE04Z8M4,,,,,,,,,,,,,,,,
Device,FRDM_KE04Z,MKE04P24M48SF0RM,FRDM_KE04Z,MKE04Z8M4,,,,,,,,,,,,,,,,
Device,S9KEAZN8AMTG,S9KEA8Z24M48SF0RM,KE04_TSSOP_16,S9KEAZN8M4,,,,,,,,,,,,,,,,
Device,S9KEAZN8ACTG,S9KEA8Z24M48SF0RM,KE04_TSSOP_16,S9KEAZN8M4,,,,,,,,,,,,,,,,
Device,S9KEAZN8AMFK,S9KEA8Z24M48SF0RM,KE04_QFN_24,S9KEAZN8M4,,,,,,,,,,,,,,,,
Device,S9KEAZN8ACFK,S9KEA8Z24M48SF0RM,KE04_QFN_24,S9KEAZN8M4,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Key,Pin,Pkg KE04_QFN_24,Pkg KE04_SOIC_20,Pkg KE04_TSSOP_16,Pkg FRDM_KE04Z,Reset,Default,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7,Sort,,,,
Pin,PTC5,1,*,*,PTC5,DISABLED,,GPIOA_21,KBI1_P1,FTM2_CH3,CLKOUT,,,,,1,,,,
Pin,PTC4,2,*,*,PTC4,DISABLED,,GPIOA_20,KBI1_P0,FTM2_CH2,PWT_IN0,,,,,2,,,,
Pin,VDD,3,3,3,VDD,VDDA/VREFH,,,,,,,,,,3,,,,
Pin,VSS,4,4,4,VSS,VSS/VSSA,,,,,,,,,,4,,,,
Pin,PTB7,5,5,5,PTB7,EXTAL,,GPIOA_15,I2C0_SCL,EXTAL,,,,,,5,,,,
Pin,PTB6,6,6,6,PTB6,XTAL,,GPIOA_14,I2C0_SDA,XTAL,,,,,,6,,,,
Pin,PTB5,7,7,7,PTB5,ACMP1_OUT,,GPIOA_13,KBI1_P7,FTM2_CH5,SPI0_PCS,ACMP1_OUT,,,,7,,,,
Pin,PTB4,8,8,8,PTB4,NMI_b,,GPIOA_12,KBI1_P6,FTM2_CH4,SPI0_MISO,ACMP1_IN2,NMI_b,,,8,,,,
Pin,PTC3,9,9,*,PTC3,ADC0_SE11,,GPIOA_19,KBI1_P5,FTM2_CH3,ADC0_SE11,,,,,9,,,,
Pin,PTC2,10,10,*,PTC2,ADC0_SE10,,GPIOA_18,KBI1_P4,FTM2_CH2,ADC0_SE10,,,,,10,,,,
Pin,PTC1,11,11,*,PTC1,ADC0_SE9,,GPIOA_17,KBI1_P3,FTM2_CH1,ADC0_SE9,,,,,11,,,,
Pin,PTC0,12,12,*,PTC0,ADC0_SE8,,GPIOA_16,KBI1_P2,FTM2_CH0,ADC0_SE8,,,,,12,,,,
Pin,PTB3,13,13,9,PTB3,ADC0_SE7,,GPIOA_11,KBI0_P7,SPI0_MOSI,FTM0_CH1,ADC0_SE7,,,,13,,,,
Pin,PTB2,14,14,10,PTB2,ADC0_SE6,,GPIOA_10,KBI0_P6,SPI0_SCK,FTM0_CH0,ACMP0_IN0,ADC0_SE6,,,14,,,,
Pin,PTB1,15,15,11,PTB1,ADC0_SE5,,GPIOA_9,KBI0_P5,UART0_TX,SPI0_MISO,TCLK2,ADC0_SE5,,,15,,,,
Pin,PTB0,16,16,12,PTB0,ADC0_SE4,,GPIOA_8,KBI0_P4,UART0_RX,SPI0_PCS,PWT_IN1,ADC0_SE4,,,16,,,,
Pin,PTA7,17,*,*,PTA7,ADC0_SE3,,GPIOA_7,FTM2_FLT2,SPI0_MOSI,ACMP1_IN1,ADC0_SE3,,,,17,,,,
Pin,PTA6,18,*,*,PTA6,ADC0_SE2,,GPIOA_6,FTM2_FLT1,SPI0_SCK,ACMP1_IN0,ADC0_SE2,,,,18,,,,
Pin,PTA3,19,17,13,PTA3,DISABLED,,GPIOA_3,KBI0_P3,UART0_TX,I2C0_SCL,,,,,19,,,,
Pin,PTA2,20,18,14,PTA2,DISABLED,,GPIOA_2,KBI0_P2,UART0_RX,I2C0_SDA,,,,,20,,,,
Pin,PTA1,21,19,15,PTA1,ADC0_SE1,,GPIOA_1,KBI0_P1,FTM0_CH1,ACMP0_IN1,ADC0_SE1,,,,21,,,,
Pin,PTA0,22,20,16,PTA0,SWD_CLK,,GPIOA_0,KBI0_P0,FTM0_CH0,RTC_CLKOUT,ACMP0_IN2,ADC0_SE0,SWD_CLK,,22,,,,
Pin,PTA5,23,1,1,PTA5,RESET_b,,GPIOA_5,IRQ,TCLK1,RESET_b,,,,,23,,,,
Pin,PTA4,24,2,2,PTA4,SWD_DIO,,GPIOA_4,ACMP0_OUT,SWD_DIO,,,,,,24,,,,
Pin,TEMP_SENSOR,Internal,Internal,Internal,Internal,ADC0_SE22,,,,,,,,,,,-2,Internal,Internal,Internal
Pin,BANDGAP,Internal,Internal,Internal,Internal,ADC0_SE23,,,,,,,,,,,-1,Internal,Internal,Internal
