TargetDeviceFamily,CortexM4,,,,,,,,,,,,,,
TargetDeviceSubFamily,MKL17Z4,mkl,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Variant Name,Reference Manual,Package,Device name,,,,,,,,,,,
Device,MKL17Z128VFM4,KL17P64M48SF6RM,QFN_32,MKL17Z128M4,,,,,,,,,,,
Device,MKL17Z256VFM4,KL17P64M48SF6RM,QFN_32,MKL17Z256M4,,,,,,,,,,,
Device,MKL17Z128VFT4,KL17P64M48SF6RM,QFN_48,MKL17Z128M4,,,,,,,,,,,
Device,MKL17Z256VFT4,KL17P64M48SF6RM,QFN_48,MKL17Z256M4,,,,,,,,,,,
Device,MKL17Z128VMP4,KL17P64M48SF6RM,BGA_64,MKL17Z128M4,,,,,,,,,,,
Device,MKL17Z256VMP4,KL17P64M48SF6RM,BGA_64,MKL17Z256M4,,,,,,,,,,,
Device,MKL17Z128VLH4,KL17P64M48SF6RM,LQFP_64,MKL17Z128M4,,,,,,,,,,,
Device,MKL17Z256VLH4,KL17P64M48SF6RM,LQFP_64,MKL17Z256M4,,,,,,,,,,,
,,,,,,,,,,,,,,,
Key,Pin,Pkg BGA_64,Pkg QFN_48,Pkg QFN_32,Pkg LQFP_64,Reset,Default,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7
Pin,PTE0,A1,*,p1,p1,DISABLED,,PTE0/CLKOUT32K,SPI1_MISO,LPUART1_TX,RTC_CLKOUT,CMP0_OUT,I2C1_SDA,,
Pin,PTE1,B1,*,p2,p2,DISABLED,,PTE1,SPI1_MOSI,LPUART1_RX,SPI1_MISO,I2C1_SCL,,,
Pin,VDD,*,p1,*,p3,VDD,,,,,,,,,
Pin,VSS,C4,p2,*,p4,VSS,,,,,,,,,
Pin,PTE16,E1,p3,p3,p5,ADC0_DP1/ADC0_SE1,,ADC0_DP1/ADC0_SE1,PTE16,SPI0_SS,UART2_TX,TPM_CLKIN0,FXIO0_D0,,
