ID,Names,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7,EzPort
Pin,ADC0_DM0,ADC0_DM0/ADC1_DM3,,,,,,,,
Pin,ADC0_DM1,ADC0_DM1,,,,,,,,
Pin,ADC0_DP0,ADC0_DP0/ADC1_DP3,,,,,,,,
Pin,ADC0_DP1,ADC0_DP1,,,,,,,,
Pin,ADC0_SE16,ADC0_SE16/CMP1_IN2/ADC0_SE21,,,,,,,,
Pin,ADC0_SE23,DAC0_OUT/CMP1_IN3/ADC0_SE23,,,,,,,,
Pin,ADC1_DM0,ADC1_DM0/ADC0_DM3,,,,,,,,
Pin,ADC1_DM1,ADC1_DM1,,,,,,,,
Pin,ADC1_DP0,ADC1_DP0/ADC0_DP3,,,,,,,,
Pin,ADC1_DP1,ADC1_DP1,,,,,,,,
Pin,ADC1_SE16,ADC1_SE16/CMP2_IN2/ADC0_SE22,,,,,,,,
Pin,ADC1_SE18,VREF_OUT/CMP1_IN5/CMP0_IN5/ADC1_SE18,,,,,,,,
Pin,ADC1_SE23,DAC1_OUT/CMP0_IN4/CMP2_IN3/ADC1_SE23,,,,,,,,
Pin,PTA0,,PTA0,UART0_CTS_b/UART0_COL_b,FTM0_CH5,,,,JTAG_TCLK/SWD_CLK,EZP_CLK
Pin,PTA1,,PTA1,UART0_RX,FTM0_CH6,,,,JTAG_TDI,EZP_DI
Pin,PTA2,,PTA2,UART0_TX,FTM0_CH7,,,,JTAG_TDO/TRACE_SWO,EZP_DO
Pin,PTA3,,PTA3,UART0_RTS_b,FTM0_CH0,,,,JTAG_TMS/SWD_DIO,
Pin,PTA4,,PTA4/LLWU_P3,,FTM0_CH1,,,,NMI_b,EZP_CS_b
Pin,PTA5,,PTA5,USB_CLKIN,FTM0_CH2,RMII0_RXER/MII0_RXER,CMP2_OUT,I2S0_TX_BCLK,JTAG_TRST_b,
Pin,PTA6,,PTA6,,FTM0_CH3,,CLKOUT,,TRACE_CLKOUT,
Pin,PTA7,ADC0_SE10,PTA7,,FTM0_CH4,,,,TRACE_D3,
Pin,PTA8,ADC0_SE11,PTA8,,FTM1_CH0,,,FTM1_QD_PHA,TRACE_D2,
Pin,PTA9,,PTA9,,FTM1_CH1,MII0_RXD3,,FTM1_QD_PHB,TRACE_D1,
Pin,PTA10,,PTA10,,FTM2_CH0,MII0_RXD2,,FTM2_QD_PHA,TRACE_D0,
Pin,PTA11,,PTA11,,FTM2_CH1,MII0_RXCLK,I2C2_SDA,FTM2_QD_PHB,,
Pin,PTA12,CMP2_IN0,PTA12,CAN0_TX,FTM1_CH0,RMII0_RXD1/MII0_RXD1,I2C2_SCL,I2S0_TXD0,FTM1_QD_PHA,
Pin,PTA13,CMP2_IN1,PTA13/LLWU_P4,CAN0_RX,FTM1_CH1,RMII0_RXD0/MII0_RXD0,I2C2_SDA,I2S0_TX_FS,FTM1_QD_PHB,
Pin,PTA14,,PTA14,SPI0_PCS0,UART0_TX,RMII0_CRS_DV/MII0_RXDV,I2C2_SCL,I2S0_RX_BCLK,I2S0_TXD1,
Pin,PTA15,,PTA15,SPI0_SCK,UART0_RX,RMII0_TXEN/MII0_TXEN,,I2S0_RXD0,,
Pin,PTA16,,PTA16,SPI0_SOUT,UART0_CTS_b/UART0_COL_b,RMII0_TXD0/MII0_TXD0,,I2S0_RX_FS,I2S0_RXD1,
Pin,PTA17,ADC1_SE17,PTA17,SPI0_SIN,UART0_RTS_b,RMII0_TXD1/MII0_TXD1,,I2S0_MCLK,,
Pin,PTA18,EXTAL0,PTA18,,FTM0_FLT2,FTM_CLKIN0,,,,
Pin,PTA19,XTAL0,PTA19,,FTM1_FLT0,FTM_CLKIN1,,LPTMR0_ALT1,,
Pin,PTA24,,PTA24,,,MII0_TXD2,,FB_A29,,
Pin,PTA25,,PTA25,,,MII0_TXCLK,,FB_A28,,
Pin,PTA26,,PTA26,,,MII0_TXD3,,FB_A27,,
Pin,PTA27,,PTA27,,,MII0_CRS,,FB_A26,,
Pin,PTA28,,PTA28,,,MII0_TXER,,FB_A25,,
Pin,PTA29,,PTA29,,,MII0_COL,,FB_A24,,
Pin,PTB0,ADC0_SE8/ADC1_SE8,PTB0/LLWU_P5,I2C0_SCL,FTM1_CH0,RMII0_MDIO/MII0_MDIO,,FTM1_QD_PHA,,
Pin,PTB1,ADC0_SE9/ADC1_SE9,PTB1,I2C0_SDA,FTM1_CH1,RMII0_MDC/MII0_MDC,,FTM1_QD_PHB,,
Pin,PTB10,ADC1_SE14,PTB10,SPI1_PCS0,UART3_RX,,FB_AD19,FTM0_FLT1,,
Pin,PTB11,ADC1_SE15,PTB11,SPI1_SCK,UART3_TX,,FB_AD18,FTM0_FLT2,,
Pin,PTB12,,PTB12,UART3_RTS_b,FTM1_CH0,FTM0_CH4,,FTM1_QD_PHA,,
Pin,PTB13,,PTB13,UART3_CTS_b,FTM1_CH1,FTM0_CH5,,FTM1_QD_PHB,,
Pin,PTB16,,PTB16,SPI1_SOUT,UART0_RX,FTM_CLKIN0,FB_AD17,EWM_IN,,
Pin,PTB17,,PTB17,SPI1_SIN,UART0_TX,FTM_CLKIN1,FB_AD16,EWM_OUT_b,,
Pin,PTB18,,PTB18,CAN0_TX,FTM2_CH0,I2S0_TX_BCLK,FB_AD15,FTM2_QD_PHA,,
Pin,PTB19,,PTB19,CAN0_RX,FTM2_CH1,I2S0_TX_FS,FB_OE_b,FTM2_QD_PHB,,
Pin,PTB2,ADC0_SE12,PTB2,I2C0_SCL,UART0_RTS_b,ENET0_1588_TMR0,,FTM0_FLT3,,
Pin,PTB20,,PTB20,SPI2_PCS0,,,FB_AD31,CMP0_OUT,,
Pin,PTB21,,PTB21,SPI2_SCK,,,FB_AD30,CMP1_OUT,,
Pin,PTB22,,PTB22,SPI2_SOUT,,,FB_AD29,CMP2_OUT,,
Pin,PTB23,,PTB23,SPI2_SIN,SPI0_PCS5,,FB_AD28,,,
